Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,RAC+,Molecular Polarization+,Shielding Effect-,RAC-,Molecular Polarization-,Dielectric
0,9.5,1114.19,100.29,-1.13,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,80.03
0,19,832.36,100.57,-1.84,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,73.32
0,28.5,649.21,100.86,-2.53,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,67.32
0,38,523.99,101.14,-3.21,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,61.9
0,47.5,434.75,101.43,-3.89,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,56.97
0,57,368.96,101.71,-4.57,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,52.48
0,66.5,319.04,102,-5.24,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,48.4
0,76,280.24,102.28,-5.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,44.69
0,85.5,249.45,102.57,-6.6,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,41.34
0,95,224.57,102.85,-7.27,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,38.31
10,15.2,929.96,100.46,-1.56,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,72.52
10,30.4,620.42,100.91,-2.67,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,63.24
10,45.6,450.42,101.37,-3.75,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,55.33
10,60.8,347.4,101.82,-4.84,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,48.53
10,76,280.24,102.28,-5.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,42.7
10,91.2,233.92,102.74,-7,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,37.72
10,106.4,200.52,103.19,-8.08,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,33.52
10,121.6,175.56,103.65,-9.16,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,30.04
10,136.8,156.35,104.1,-10.24,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,27.25
10,152,141.21,104.56,-11.32,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,25.08
20,21,787.37,100.63,-1.99,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,65.72
20,42,482.9,101.26,-3.53,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,54.54
20,63,335.29,101.89,-5,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,45.51
20,84,253.87,102.52,-6.49,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,38.19
20,105,203.19,103.15,-7.98,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,32.36
20,126,169.5,103.78,-9.48,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,27.86
20,147,145.82,104.41,-10.97,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,24.58
20,168,128.44,105.04,-12.46,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,22.41
20,189,115.24,105.67,-13.95,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,21.3
20,210,104.92,106.3,-15.44,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,21.17
30,26.5,681.96,100.8,-2.39,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,59.75
30,53,394.27,101.59,-4.28,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,47.36
30,79.5,268.09,102.39,-6.17,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,37.86
30,106,201.27,103.18,-8.05,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,30.68
30,132.5,161.31,103.98,-9.94,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,25.53
30,159,135.28,104.77,-11.82,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,22.17
30,185.5,117.21,105.57,-13.7,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,20.46
30,212,104.06,106.36,-15.58,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,20.26
30,238.5,94.12,107.16,-17.47,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,21.49
30,265,86.38,107.95,-19.35,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,24.06
40,32,597.78,100.96,-2.78,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,54.36
40,64,330.94,101.92,-5.07,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,41.18
40,96,222.23,102.88,-7.34,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,31.66
40,128,166.88,103.84,-9.62,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,25.1
40,160,134.48,104.8,-11.89,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,21.09
40,192,113.61,105.76,-14.16,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,19.37
40,224,99.23,106.72,-16.44,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,19.73
40,256,88.81,107.68,-18.71,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,22.01
40,288,80.95,108.64,-20.98,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,26.1
